episode    506, score -16, own  5, enemy 21, mean -17.22
episode    507, score -19, own  2, enemy 21, mean -17.21
episode    508, score -15, own  6, enemy 21, mean -17.23
episode    509, score -13, own  8, enemy 21, mean -17.21
episode    510, score -18, own  3, enemy 21, mean -17.17
episode    511, score -16, own  5, enemy 21, mean -17.17
episode    512, score -12, own  9, enemy 21, mean -17.16
episode    513, score -18, own  3, enemy 21, mean -17.11
episode    514, score -17, own  4, enemy 21, mean -17.12
episode    515, score -13, own  8, enemy 21, mean -17.12
episode    516, score -18, own  3, enemy 21, mean -17.08
episode    517, score -11, own 10, enemy 21, mean -17.09
episode    518, score -19, own  2, enemy 21, mean -17.03
episode    519, score -16, own  5, enemy 21, mean -17.05
episode    520, score -16, own  5, enemy 21, mean -17.03
episode    521, score -17, own  4, enemy 21, mean -17.02
episode    522, score -17, own  4, enemy 21, mean -17.02
episode    523, score -16, own  5, enemy 21, mean -17.02
episode    524, score -16, own  5, enemy 21, mean -17.01
episode    525, score -15, own  6, enemy 21, mean -17.00
episode    526, score -19, own  2, enemy 21, mean -16.98
episode    527, score -13, own  8, enemy 21, mean -17.00
episode    528, score -20, own  1, enemy 21, mean -16.96
episode    529, score -14, own  7, enemy 21, mean -16.99
episode    530, score -21, own  0, enemy 21, mean -16.96
episode    531, score -14, own  7, enemy 21, mean -17.00
episode    532, score -15, own  6, enemy 21, mean -16.97
episode    533, score -18, own  3, enemy 21, mean -16.95
episode    534, score -18, own  3, enemy 21, mean -16.97
episode    535, score -17, own  4, enemy 21, mean -16.98
episode    536, score -18, own  3, enemy 21, mean -16.98
episode    537, score -19, own  2, enemy 21, mean -16.99
episode    538, score -13, own  8, enemy 21, mean -17.01
